candidato,nivel,metodo,auc,auc_lo,auc_hi,ap,ap_lo,ap_hi,brier,ece,delta_auc_vs_base,p_delong_vs_base
M_A_22__xgb_agg_E,estudio,base,0.6891132005899705,0.6282069968533799,0.7479157258756869,0.36315017527356,0.27794348078810655,0.4534366716900858,0.1402530074119568,0.2598916525840759,,
M_A_22__xgb_agg_E,estudio,platt,0.6891132005899705,0.6282069968533799,0.7479157258756869,0.36315017527356,0.27794348078810655,0.4534366716900858,0.08021595585872789,0.019315035640223646,0.0,1.0
M_A_22__xgb_agg_E,estudio,isotonic,0.6346734421091446,0.5873669960717044,0.685451834351071,0.31314542230210124,0.22668558825245752,0.4022232988846644,0.07425152510404587,0.018202126063406463,-0.05443975848082605,0.009938938995079027
M_A_gg__mlp_mama,mama,base,0.6866402053145872,0.6288502034454628,0.7417284424079654,0.24223041852272587,0.15629538915727792,0.332148817035394,0.19434700906276703,0.38114892782270904,,
M_A_gg__mlp_mama,mama,platt,0.6866402053145872,0.6288502034454628,0.7417284424079654,0.24223041852272587,0.15629538915727792,0.332148817035394,0.04419874500253045,0.008005628901048348,0.0,1.0
M_A_gg__mlp_mama,mama,isotonic,0.6717968745848809,0.6118493175634909,0.7272050248737177,0.20772517449283073,0.1287123684453641,0.29464683176722567,0.04357202351093292,0.00507023470103741,-0.014843330729706117,0.00050644295896074
