candidato,modelo_fusion,auc_nb11,auc_hito2_agg,delta_nb11_minus_h2,p_delong
M_A_22__xgb,logreg,0.6836398414454278,0.6782701880530974,0.00536965339233042,0.8366717047332359
M_A_22__xgb,histgb,0.5804007651179941,0.6782701880530974,-0.09786942293510326,0.0038421543477240583
M_A_22__xgb,mlp,0.6355549410029498,0.6782701880530974,-0.04271524705014751,0.1957448497967178
M_A_gg__mlp,logreg,0.6727853060471976,0.6782701880530974,-0.005484882005899805,0.768816735824438
M_A_gg__mlp,histgb,0.6168418141592921,0.6782701880530974,-0.06142837389380529,0.03951010891793039
M_A_gg__mlp,mlp,0.6681761615044247,0.6782701880530974,-0.010094026548672641,0.5965359558526104
M_A_22__rf,logreg,0.6691095132743362,0.6782701880530974,-0.009160674778761146,0.7367425426189285
M_A_22__rf,histgb,0.6411780973451328,0.6782701880530974,-0.0370920907079646,0.2353686359693863
M_A_22__rf,mlp,0.6641316371681416,0.6782701880530974,-0.014138550884955747,0.6081771804197502
