modelo,nivel,umbral_tipo,umbral,TP,FP,FN,TN,sens,spec,ppv,npv,f1
Triaje (M_A_22 + xgb agregado + Platt),estudio,Youden index,0.1273264564181094,22,21,74,883,0.22916666666666666,0.9767699115044248,0.5116279069767442,0.922675026123302,0.3165467625899281
Triaje (M_A_22 + xgb agregado + Platt),estudio,"Sensibilidad ≥ 0,75",0.08042594821307995,64,402,32,502,0.6666666666666666,0.5553097345132744,0.13733905579399142,0.9400749063670412,0.22775800711743774
Localización (M_A_gg + mlp + Platt),mama,Youden index,0.04692505848918251,54,635,45,1266,0.5454545454545454,0.6659652814308259,0.0783744557329463,0.965675057208238,0.13705583756345177
Localización (M_A_gg + mlp + Platt),mama,"Sensibilidad ≥ 0,75",0.03986779847994968,77,1090,22,811,0.7777777777777778,0.4266175697001578,0.06598114824335904,0.9735894357743097,0.12164296998420221
