candidato,modelo_fusion,auc_nb11b,auc_hito2,delta_nb11b_minus_h2,p_delong
M_A_22__xgb,logreg,0.6784122126047428,0.7067306415018145,-0.0283184288970717,0.29317159955163064
M_A_22__xgb,histgb,0.6483536044293541,0.7067306415018145,-0.05837703707246045,0.07737155459548695
M_A_22__xgb,mlp,0.6481729445958799,0.7067306415018145,-0.0585576969059346,0.0796211562135154
M_A_gg__mlp,logreg,0.6939197338986923,0.7067306415018145,-0.012810907603122201,0.5241982504524274
M_A_gg__mlp,histgb,0.6270782522755168,0.7067306415018145,-0.07965238922629769,0.00388879310158341
M_A_gg__mlp,mlp,0.6840844000233796,0.7067306415018145,-0.02264624147843497,0.27175270133134455
M_A_22__rf,logreg,0.6780588632245654,0.7067306415018145,-0.028671778277249094,0.283033465732101
M_A_22__rf,histgb,0.6219294470215039,0.7067306415018145,-0.08480119448031065,0.009004491288696403
M_A_22__rf,mlp,0.677995100930398,0.7067306415018145,-0.028735540571416474,0.2444339648291045
