rango,n,n_pos,auc_modelo,auc_modelo_lo,auc_modelo_hi,auc_solo_edad,auc_solo_edad_lo,auc_solo_edad_hi
20-39,238,14,0.5921556122448979,0.41251229284283375,0.7624782423857609,0.606345663265306,0.44262368391809326,0.7505726275049056
40-49,362,31,0.6545171035961407,0.5494292806119729,0.7534317953632712,0.537666894064906,0.4109188863441933,0.6606906175705906
50-59,196,18,0.6451310861423221,0.5072506024506889,0.7809822543249509,0.5461922596754059,0.4118862104767,0.684363746454808
60-69,59,12,0.8049645390070923,0.6611767206882753,0.9355568181818182,0.6179078014184397,0.41789215686274506,0.8094428462874511
70+,14,7,0.9183673469387754,0.7291666666666667,1.0,0.5714285714285714,0.24987244897959196,0.8855034722222223
