config,oof_auc,mean_fold_auc,std_fold_auc,test_auc
E_A_mlp,0.5964230014589728,0.6521575882767132,0.040288410203726185,0.6211283185840708
E_A_gbm,0.578670609965574,0.5808682002013114,0.027048723484020955,0.5953286320058997
E_B_mlp,0.6246835897915034,0.6544262490688395,0.03669050175289516,0.6064942846607669
E_B_gbm,0.621298485686975,0.63125203168536,0.014348025590571255,0.6312165837020649
M_A_mlp,0.5567504166409994,0.6382304544788446,0.02922884397678384,0.6829632463509371
M_A_gbm,0.5873803978109906,0.5890020875949198,0.01714361274378255,0.6031780190117907
