config,head,level,oof_auc,mean_fold_auc,std_fold_auc,test_auc,elapsed_sec
M_A_gg,mlp,mama,0.6442050689517961,0.6420925979462992,0.03331419805725204,0.6866402053145872,28.905895709991455
M_A_22,xgb,mama,0.6244948279909497,0.6526566217909174,0.027035575740710915,0.6813346510874129,402.9795320034027
M_AB_gg,histgb,mama,0.6253728957756515,0.6359026018635906,0.029500053049403858,0.6810583478126877,181.22712206840515
M_A_22,rf,mama,0.6517259176507607,0.6575155934625375,0.024165856891213925,0.6802692894223668,95.45371079444885
M_A_gg,logreg_en,mama,0.5927943167004364,0.5925085414996076,0.04598078797914595,0.6763107136594775,843.8040955066681
M_AB_gg,lgbm,mama,0.6134475565108376,0.6107096400977285,0.028874099102180723,0.6758138991174236,108.23479557037354
M_A_gg,logreg_l1,mama,0.5876817445478717,0.5887271035835824,0.04742892399958648,0.672851609200899,516.4520030021667
M_AB_gg,mlp,mama,0.6549077063184586,0.6560526218713683,0.0332712489906802,0.6709281133268508,37.46111178398132
M_A_gg,histgb,mama,0.6223910614897183,0.6279206647636911,0.039386901972322634,0.6691666799504778,85.56555342674255
M_A_gg,rf,mama,0.6361947399177872,0.6447750805232443,0.016066325206709236,0.6660609248720769,49.100340604782104
M_A_22,histgb,mama,0.636061714479794,0.6425934999741756,0.024676505249002258,0.6653462558249512,341.3884222507477
M_A_gg,logreg_l2,mama,0.5770287211743532,0.577313621005821,0.040896525118066004,0.6643234023560168,34.455810546875
M_AB_gg,logreg_en,mama,0.6126617241362087,0.6127872964635221,0.04714447861813028,0.6620439003395342,2041.2351577281952
M_AB_22,histgb,mama,0.6106891516839623,0.6491251883661434,0.028479605876605273,0.6579923378976509,709.7922406196594
M_A_gg,extratrees,mama,0.6018437092620003,0.6085397858370903,0.04451651319586763,0.6567410028746168,27.323431253433228
E_A_gg,rf,estudio,0.6375750149131445,0.638420312728654,0.032761239856093645,0.6499469948377581,33.43502616882324
M_A_gg,lgbm,mama,0.5557324973319993,0.5640034475715333,0.025385075847786473,0.64768144357834,46.63323903083801
M_AB_gg,rf,mama,0.6456705131385512,0.65094602296241,0.030836296037508783,0.6471899425608,69.66564536094666
E_A_gg,logreg_l1,estudio,0.6299556558549364,0.6312149867810147,0.03515421606170062,0.6465362278761062,179.90490984916687
M_AB_22,rf,mama,0.6609509570672469,0.6647909536103416,0.02454576479427291,0.6458190532362021,133.67663383483887
M_AB_gg,logreg_l1,mama,0.5943763038241068,0.5947742655508552,0.03877793354526636,0.645811082949431,204.99460673332214
M_AB_gg,extratrees,mama,0.6201006597995129,0.6344676466946602,0.03600324404252183,0.6453620901280028,47.757431507110596
M_AB_gg,logreg_l2,mama,0.5993949756674997,0.5999872650633895,0.04848654608266626,0.6442861014139288,71.17012572288513
M_AB_gg,xgb,mama,0.6213826321055812,0.6608829837660624,0.03363645436129398,0.6438211680189587,186.626451253891
E_AB_gg,logreg_l1,estudio,0.632342837019096,0.633338612667586,0.03277641165082195,0.6437246497050148,302.7529265880585
E_AB_22,xgb,estudio,0.6350175004851264,0.6381427396639866,0.019046623963928592,0.6428604351032448,1354.417184829712
M_A_22,mlp,mama,0.658241167294056,0.6577149102324213,0.018681276134180934,0.6421553780838367,39.03798866271973
M_A_22,lgbm,mama,0.604696513867777,0.610963713698178,0.04086858240642719,0.6415204119044203,229.5471694469452
E_AB_gg,histgb,estudio,0.6235828919282156,0.6307750206981251,0.03969049817391495,0.6392768252212389,245.88528180122375
M_AB_22,mlp,mama,0.6601558012576648,0.6713801678214155,0.023588249958934077,0.638637824855605,60.01421928405762
E_A_22,rf,estudio,0.6604564500247954,0.662696074897084,0.02892309339318326,0.6373640302359882,67.61673784255981
M_A_gg,xgb,mama,0.6208115717146963,0.638237504058494,0.038042946481252296,0.6372908463913198,74.30739903450012
E_A_22,extratrees,estudio,0.6523666980501512,0.6552321809905055,0.04427922387489889,0.6362981655604719,68.65844893455505
