auc_a,auc_b,delta,z,p_value,level,split,comparison
0.5567504166409994,0.5637081964647532,0.006957779823753785,0.3875996840113234,0.6983123028000053,mama,OOF training,M_A_mlp vs M_A_mlp_dens
0.5873803978109906,0.5873803978109906,0.0,0.0,1.0,mama,OOF training,M_A_gbm vs M_A_gbm_dens
0.682963246350937,0.7067306415018145,0.023767395150877557,0.9063832662688334,0.3647330267432658,mama,test hold-out,M_A_mlp vs M_A_mlp_dens
0.6031780190117907,0.6031780190117907,0.0,0.0,1.0,mama,test hold-out,M_A_gbm vs M_A_gbm_dens
