auc_a,auc_b,delta,z,p_value,level,split,comparison
0.5964230014589726,0.6246835897915035,0.028260588332530867,1.3829950907040178,0.16666637120137273,estudio,OOF training,E_A_mlp vs E_B_mlp
0.5786706099655741,0.621298485686975,0.04262787572140092,2.238142793435481,0.025211744783331103,estudio,OOF training,E_A_gbm vs E_B_gbm
0.5964230014589726,0.5786706099655741,-0.017752391493398578,-0.8770102202789807,0.38048108687650717,estudio,OOF training,E_A_mlp vs E_A_gbm
0.6246835897915035,0.621298485686975,-0.0033851041045285246,-0.18777800033809744,0.8510506821666795,estudio,OOF training,E_B_mlp vs E_B_gbm
0.6211283185840708,0.6064942846607669,-0.014634033923303869,-0.5149033056015692,0.6066205908435465,estudio,test hold-out,E_A_mlp vs E_B_mlp
0.5953286320058997,0.6312165837020649,0.03588795169616521,1.1707334954647441,0.24170591704972866,estudio,test hold-out,E_A_gbm vs E_B_gbm
0.6211283185840708,0.5953286320058997,-0.02579968657817111,-0.9692012259963508,0.33244479951080086,estudio,test hold-out,E_A_mlp vs E_A_gbm
0.6064942846607669,0.6312165837020649,0.024722299041297968,0.7085605696738754,0.47859721250775644,estudio,test hold-out,E_B_mlp vs E_B_gbm
0.5567504166409994,0.5873803978109906,0.03062998116999116,1.639183445495482,0.10117506046171254,mama,OOF training,M_A_mlp vs M_A_gbm
0.682963246350937,0.6031780190117907,-0.07978522733914628,-2.3387977508244524,0.019345903188760838,mama,test hold-out,M_A_mlp vs M_A_gbm
